Title,Date,Rating,Plot
Mad Max: Estrada da Fúria,,,
Atlas,,,
Guerra Civil,,,
Furiosa: Uma Saga Mad Max,,,
O Dublê,,,
Duna: Parte 2,,,
Planeta dos Macacos: O Reinado,,,
A Primeira Profecia,,,
Rivais,,,
Amigos Imaginários,,,
Garfield - Fora de Casa,,,
The Ministry of Ungentlemanly Warfare,,,
Lobos,,,
Uma Ideia de Você,,,
Um Tira da Pesada 4: Axel Foley,,,
Os Fantasmas Ainda se Divertem - Beetlejuice Beetlejuice,,,
Anora,,,
Madame Teia,,,
O Tarô da Morte,,,
Mad Max,,,
Todos Menos Você,,,
Contra o Mundo,,,
Horizon: An American Saga - Chapter 1,,,
Garra de Ferro,,,
Assassino por Acaso,,,
